search_keyword,search_cnt,click_cnt,click_rate
사람,197,60,0.3046
별이 빛나는 밤,1001,305,0.3047
조선힙합 비가,249,76,0.3052
light,166,51,0.3072
for you,550,170,0.3091
fein,194,60,0.3093
오빠나빠,139,43,0.3094
손빈아 망모,100,31,0.31
anime,664,206,0.3102
어제도 너였고 오늘도 너여서,206,64,0.3107
imael angel,103,32,0.3107
투컷적사고,141,44,0.3121
stars,153,48,0.3137
생각을 멈추다 보면 진영,137,43,0.3139
해피엔딩,121,38,0.314
별이쏟아지는밤,168,53,0.3155
이름,114,36,0.3158
dance,120,38,0.3167
퇴사할게여,1474,468,0.3175
트위드,126,40,0.3175
sweet,154,49,0.3182
summer night,119,38,0.3193
life,172,55,0.3198
최유리 진영,254,82,0.3228
e:um,754,244,0.3236
baby baby,247,80,0.3239
bgf,144,47,0.3264
young,122,40,0.3279
기억,100,33,0.33
우리가,118,39,0.3305
진영 최유리,163,54,0.3313
몬스타엑스 magic,153,51,0.3333
수고했어 여름,126,42,0.3333
다시,304,102,0.3355
time,240,81,0.3375
city,124,42,0.3387
big love,109,37,0.3394
이 별,150,51,0.34
if,244,83,0.3402
달빛,135,46,0.3407
paradise,480,164,0.3417
who,114,39,0.3421
널 지워야해,131,45,0.3435
girls,1154,397,0.344
dear,125,43,0.344
아직도,125,43,0.344
stranger,139,48,0.3453
royalty,729,252,0.3457
wind,162,56,0.3457
아줌마,147,51,0.3469
shine,158,55,0.3481
볼빨간,175,61,0.3486
백일,151,53,0.351
아이고 힘들다,378,133,0.3519
고고프렌즈,261,92,0.3525
걸스,201,71,0.3532
안식처,184,65,0.3533
to you,116,41,0.3534
with you,347,123,0.3545
하지마하지마,185,66,0.3568
숱한 밤들,112,40,0.3571
only you,531,191,0.3597
이윽고,183,66,0.3607
성리 원점,255,92,0.3608
kiss and tell,158,57,0.3608
lowkey in love,141,51,0.3617
차우차우,391,143,0.3657
22,134,49,0.3657
애쉬,101,37,0.3663
don`t tell your dreams,163,60,0.3681
抜錨,132,49,0.3712
연애조건,110,41,0.3727
will i be okay,123,46,0.374
라디오,144,54,0.375
circle,109,41,0.3761
two fools,127,48,0.378
drawing,116,44,0.3793
남자의 인생,110,42,0.3818
뮤직비디오,136,52,0.3824
불행했음 좋겠다,175,67,0.3829
babo,240,92,0.3833
money,313,120,0.3834
love.,219,84,0.3836
star,665,256,0.385
tokotoko,197,77,0.3909
내사랑,133,52,0.391
조지,360,141,0.3917
고막남친,311,122,0.3923
베드,476,187,0.3929
아침에,366,144,0.3934
너를,122,48,0.3934
eum,287,113,0.3937
내가,175,69,0.3943
letter,223,88,0.3946
ye,114,45,0.3947
poison,124,49,0.3952
mr,182,72,0.3956
퇴사하겠습니다,144,57,0.3958
all in,106,42,0.3962
노창,259,103,0.3977
j,198,79,0.399
love letter,285,114,0.4
행복 하지 마요,195,78,0.4
시간을 달리네,170,68,0.4
24,177,71,0.4011
백상아리,102,41,0.402
you and me,124,50,0.4032
라도,1299,526,0.4049
눈물 차쿤,106,43,0.4057
play,191,78,0.4084
레오,264,108,0.4091
봐,100,41,0.41
등산,112,46,0.4107
promise,242,100,0.4132
feathers,120,50,0.4167
발묘,739,308,0.4168
소연 (soyeon),129,54,0.4186
ray,117,49,0.4188
paul,136,57,0.4191
안녕이란 슬픈 말,186,78,0.4194
별 보러 갈래,157,66,0.4204
king,107,45,0.4206
생존법,114,48,0.4211
굿바이 썸머,114,48,0.4211
고,102,43,0.4216
sky,206,87,0.4223
shooting star,160,68,0.425
daisy,136,58,0.4265
sunshine,307,131,0.4267
지,110,47,0.4273
diverseddie,287,123,0.4286
자유,142,61,0.4296
less than a lover,288,124,0.4306
rewind,174,75,0.431
so good,148,64,0.4324
기븐,136,59,0.4338
지니,159,69,0.434
josee,122,53,0.4344
살아보니 다 그렇더라,884,385,0.4355
수평선,380,166,0.4368
about you,194,85,0.4381
hey juliet,139,61,0.4388
who knows,166,73,0.4398
별이 쏟아지는 밤,3071,1352,0.4402
태민 float,202,89,0.4406
dreaming,120,53,0.4417
차쿤 눈물,140,62,0.4429
반딧불이,223,99,0.4439
duet,164,73,0.4451
여름의 끝자락,121,54,0.4463
태이,103,46,0.4466
베베,203,91,0.4483
microdose,118,53,0.4492
선,138,62,0.4493
모르고,129,58,0.4496
feeling,100,45,0.45
goodbye summer,197,89,0.4518
소연 star,135,61,0.4519
지금,104,47,0.4519
고마워,126,57,0.4524
재니,170,77,0.4529
violet,128,58,0.4531
소녀a,119,54,0.4538
상하이로맨스,141,64,0.4539
드로잉,222,101,0.455
bed,250,114,0.456
felix,252,115,0.4563
=love,103,47,0.4563
moneymoneymoney,127,58,0.4567
lost,341,156,0.4575
디기디기,456,209,0.4583
라이브,109,50,0.4587
아미,208,96,0.4615
dawn,106,49,0.4623
face,134,62,0.4627
노래,376,174,0.4628
추억은 한 편의 산문집 되어,121,56,0.4628
let go,162,75,0.463
자유비행,108,50,0.463
born savage,123,57,0.4634
언젠가,125,58,0.464
질주,243,113,0.465
bmk 꽃피는 봄이 오면,206,96,0.466
hyang,180,84,0.4667
i wish,169,79,0.4675
flame,1072,502,0.4683
홈,143,67,0.4685
인피니트 우리의 계절,160,75,0.4688
break,130,61,0.4692
headlock,262,123,0.4695
너무신나,185,87,0.4703
바이 썸머,682,321,0.4707
wake me up when september ends,715,338,0.4727
sunday,137,65,0.4745
행복하지마요,158,75,0.4747
하늘,143,68,0.4755
키스,107,51,0.4766
우리는,178,85,0.4775
마음은 작별하지 않는다,111,53,0.4775
이젠,113,54,0.4779
그럴일은,228,109,0.4781
high,345,165,0.4783
바람분적없고,115,55,0.4783
best friend,215,103,0.4791
쿠키,388,186,0.4794
싫어,125,60,0.48
줄리엣,177,85,0.4802
rave mozart,152,73,0.4803
cry,104,50,0.4808
alive,189,91,0.4815
better,253,122,0.4822
diamond,201,97,0.4826
녹아버려요,118,57,0.4831
화,372,180,0.4839
to,140,68,0.4857
이제,111,54,0.4865
highlight,113,55,0.4867
메들리,117,57,0.4872
today,121,59,0.4876
pray,162,79,0.4877
내 사랑,127,62,0.4882
kelly green,442,216,0.4887
보기 드문 여자,147,72,0.4898
다니엘,102,50,0.4902
roses,210,103,0.4905
bad girl,106,52,0.4906
valentine,116,57,0.4914
88,177,87,0.4915
컬러링,213,105,0.493
big,148,73,0.4932
amazing,156,77,0.4936
혼잣말,303,150,0.495
passionfruit,101,50,0.495
shut the door,119,59,0.4958
q,123,61,0.4959
사랑 그리고 사랑,274,136,0.4964
21,330,164,0.497
leave your mark,645,321,0.4977
닝닝,221,110,0.4977
moment,215,107,0.4977
사랑한다는 말로는,279,139,0.4982
러브레터,262,131,0.5
0310,154,77,0.5
pain,148,74,0.5
주,126,63,0.5
야채 싫어,124,62,0.5
이지,104,52,0.5
그대라면 범진,269,135,0.5019
new,105,53,0.5048
문,101,51,0.505
beautiful,1094,556,0.5082
random switch,240,122,0.5083
fate,108,55,0.5093
liar,151,77,0.5099
롤,151,77,0.5099
float,145,74,0.5103
레이,131,67,0.5115
그대 작은 나의 세상이 되어,203,104,0.5123
pink,259,133,0.5135
일상,111,57,0.5135
이런 게 행복이지,132,68,0.5152
잘 하고 있어,126,65,0.5159
언제까지,149,77,0.5168
보랏빛 엽서,178,92,0.5169
스디파,551,285,0.5172
the day,110,57,0.5182
like that,328,170,0.5183
fly,476,247,0.5189
19,106,55,0.5189
favorite,131,68,0.5191
소년,156,81,0.5192
슈슈,175,91,0.52
your love,148,77,0.5203
사랑하지 말아요,244,127,0.5205
love is all,222,116,0.5225
godspeed,187,98,0.5241
사랑의 미학,145,76,0.5241
잔나비 가을밤에 든 생각,143,75,0.5245
내 눈을 보고 말해요,360,189,0.525
siren,152,80,0.5263
intro,148,78,0.527
whatever,201,106,0.5274
별이 빛나는 밤에,303,160,0.5281
수족냉증,142,75,0.5282
i do,265,140,0.5283
비투비 님에게,297,157,0.5286
do,210,111,0.5286
세상아 동화처럼,104,55,0.5288
pov,149,79,0.5302
우리 참 좋았는데,132,70,0.5303
soda soda,326,173,0.5307
범진 그대라면,260,138,0.5308
마치,124,66,0.5323
o,334,178,0.5329
아이,362,193,0.5331
earrings,105,56,0.5333
lose love,103,55,0.534
시간은 흐르고,103,55,0.534
lovely,101,54,0.5347
초콜릿,101,54,0.5347
링링,686,367,0.535
손빈아 어느 소녀의 사랑 이야기,250,134,0.536
이해할 수 없는 것들을 이해해야 하는 이 세상에서,125,67,0.536
everything,831,446,0.5367
안녕이라는 말,108,58,0.537
플라네타리움,106,57,0.5377
dream,812,437,0.5382
trouble,156,84,0.5385
인생영화,191,103,0.5393
야야야,111,60,0.5405
82,122,66,0.541
남자,120,65,0.5417
wonderland,142,77,0.5423
girlfriend,210,114,0.5429
언코,140,76,0.5429
전설,103,56,0.5437
멜론,320,174,0.5438
i,509,277,0.5442
어차피 저차피,123,67,0.5447
chance,189,103,0.545
첫사랑은 안녕히,121,66,0.5455
click,478,261,0.546
sunkiss,736,402,0.5462
잊혀지지 못할 언어,108,59,0.5463
마가렛,117,64,0.547
왜,371,203,0.5472
우리의 계절 인피니트,115,63,0.5478
머니,188,103,0.5479
tattoo,208,114,0.5481
hero,859,471,0.5483
1000,113,62,0.5487
날씨의 요정,153,84,0.549
슈퍼심플송,142,78,0.5493
여자,209,115,0.5502
흐르는 강물처럼,138,76,0.5507
white,147,81,0.551
아멜리에,183,101,0.5519
vancouver 2,163,90,0.5521
54321,163,90,0.5521
집으로 가는 길,123,68,0.5528
lovers,137,76,0.5547
far away,137,76,0.5547
love ya,126,70,0.5556
sunburn,117,65,0.5556
레이나,214,119,0.5561
heart,142,79,0.5563
invitation,106,59,0.5566
true,129,72,0.5581
여전히,170,95,0.5588
헬로,136,76,0.5588
finale,161,90,0.559
오늘도 수고했어,118,66,0.5593
우리의 계절,876,491,0.5605
rainbow,178,100,0.5618
마음짓기,112,63,0.5625
like it,165,93,0.5636
jump,188,106,0.5638
그리다보면,216,122,0.5648
그림,108,61,0.5648
fallin,239,135,0.5649
nothing,377,213,0.565
이음,377,213,0.565
call me,269,152,0.5651
somebody,184,104,0.5652
차쿤,573,324,0.5654
do it,129,73,0.5659
save me,208,118,0.5673
서울의 밤,171,97,0.5673
무,585,332,0.5675
하이브,125,71,0.568
run away,125,71,0.568
금요일밤,301,171,0.5681
도망가,123,70,0.5691
merry go round,128,73,0.5703
move,161,92,0.5714
멜론티켓,110,63,0.5727
유리,237,136,0.5738
여름밤에 우린,115,66,0.5739
air,115,66,0.5739
지금이대로,115,66,0.5739
love song,452,260,0.5752
try everthing,137,79,0.5766
꿈과 책과 힘과 벽,192,111,0.5781
네가 좋아,121,70,0.5785
신곡,159,92,0.5786
혼자,159,92,0.5786
달맞이꽃,105,61,0.581
slide,105,61,0.581
나혼자,239,139,0.5816
한시오분,153,89,0.5817
happy ending,115,67,0.5826
성리 보라빛 엽서,259,151,0.583
mine,144,84,0.5833
slow,108,63,0.5833
peder elias,219,128,0.5845
tommorow,118,69,0.5847
헌터헌터,171,100,0.5848
youth,364,213,0.5852
자처,227,133,0.5859
하늘색 꿈,406,238,0.5862
쇼미,655,384,0.5863
살다 보니 그렇더라,984,577,0.5864
우리의계절,104,61,0.5865
cosmos,438,257,0.5868
perfume,167,98,0.5868
나랑 아니면,259,152,0.5869
run,770,452,0.587
colors,184,108,0.587
bloom,252,148,0.5873
사랑한다고 말해줘,284,167,0.588
flirt,158,93,0.5886
home,1612,949,0.5887
mermaid,124,73,0.5887
우리서로사랑하지는말자,210,124,0.5905
handlebars,105,62,0.5905
surfin` boy,171,101,0.5906
월드컵 응원가,171,101,0.5906
신의악단,159,94,0.5912
date night,108,64,0.5926
grls,300,178,0.5933
여우,158,94,0.5949
초록을거머쥔우리는,146,87,0.5959
about love,151,90,0.596
0+0,662,395,0.5967
one day,129,77,0.5969
journey,134,80,0.597
the feeling,139,83,0.5971
또 하루,102,61,0.598
아카시아,102,61,0.598
airplane,239,143,0.5983
소닉,122,73,0.5984
no.1,147,88,0.5986
so bad,142,85,0.5986
lover,349,209,0.5989
fantasy,232,139,0.5991
photograph,217,130,0.5991
sober,160,96,0.6
말해주라,100,60,0.6
이별후회,100,60,0.6
임영웅 순간을 영원처럼,636,382,0.6006
우린,203,122,0.601
interlude,103,62,0.6019
아이 좋아,588,354,0.602
애열,249,150,0.6024
비가,1869,1127,0.603
사계절,131,79,0.6031
김철수 씨 이야기,121,73,0.6033
supernova,235,142,0.6043
get up,104,63,0.6058
still,372,226,0.6075
feel good,102,62,0.6078
matsuri,120,73,0.6083
청춘일기,200,122,0.61
마음대로,108,66,0.6111
캄캄해,152,93,0.6118
rush,219,134,0.6119
언젠가 너와 나,106,65,0.6132
nerdy love,194,119,0.6134
mondegreen,176,108,0.6136
celebration,127,78,0.6142
성시경 나의 하루처럼,169,104,0.6154
야훼,130,80,0.6154
rockstar,224,138,0.6161
뉴질랜드,198,122,0.6162
한,344,212,0.6163
일등이야,146,90,0.6164
wings,193,119,0.6166
살아가는 거야,240,148,0.6167
미쓰라진,261,161,0.6169
everyday,222,137,0.6171
soda,183,113,0.6175
over you,136,84,0.6176
bye,173,107,0.6185
섬,273,169,0.619
only one,310,192,0.6194
로미오,134,83,0.6194
먼 훗날 우리,113,70,0.6195
good bye,163,101,0.6196
루비,150,93,0.62
감동이야,161,100,0.6211
green,140,87,0.6214
dreams,148,92,0.6216
we are,241,150,0.6224
all night,178,111,0.6236
memory,176,110,0.625
classic,136,85,0.625
supernatural,147,92,0.6259
왜 나만,115,72,0.6261
twin,198,124,0.6263
들쥐,190,119,0.6263
청소,984,617,0.627
우리 다투게 돼도 이것만 기억해 줄래,110,69,0.6273
눈꽃,164,103,0.628
fallen angel,855,537,0.6281
멸종,191,120,0.6283
with me,132,83,0.6288
over,170,107,0.6294
한번만,154,97,0.6299
hollywood,282,178,0.6312
씨아,133,84,0.6316
ufo,163,103,0.6319
너에게 말을 할까,106,67,0.6321
speed,147,93,0.6327
너와 나,286,181,0.6329
사랑해,1494,946,0.6332
step,191,121,0.6335
we,243,154,0.6337
바보처럼,101,64,0.6337
run to you,101,64,0.6337
destiny,164,104,0.6341
바람이 되어,123,78,0.6341
내가 웃는게 아니야,104,66,0.6346
이 순간이 소중해,646,410,0.6347
ghost,469,298,0.6354
하트 투 하트,187,119,0.6364
changes,179,114,0.6369
marigold,113,72,0.6372
금붕어,149,95,0.6376
always been you,177,113,0.6384
together,130,83,0.6385
기댈곳 김필,155,99,0.6387
0%,119,76,0.6387
나의 모든 이들에게,122,78,0.6393
랜덤 플레이,136,87,0.6397
생각을 멈추다보면,100,64,0.64
아이유 밤편지,139,89,0.6403
please,181,116,0.6409
집,624,400,0.641
seasons,468,300,0.641
moon,480,308,0.6417
기적,282,181,0.6418
투컷,1529,982,0.6422
love attack,604,388,0.6424
같이 걸을까,112,72,0.6429
불행,112,72,0.6429
sun kiss,342,220,0.6433
universe,244,157,0.6434
ego,115,74,0.6435
아가씨,194,125,0.6443
러브,239,154,0.6444
백예린 lovelovelove,121,78,0.6446
polo,138,89,0.6449
tokyo,189,122,0.6455
sing,113,73,0.646
yeah,130,84,0.6462
u & i,122,79,0.6475
only,318,206,0.6478
잔나비 뜨거운 여름밤은 가고 남은 건 볼품없지만,125,81,0.648
wave,344,223,0.6483
happy end,145,94,0.6483
사랑해요 그대를,635,412,0.6488
중드,154,100,0.6494
slow it down,280,182,0.65
야채싫어,335,218,0.6507
녹아 버려요,916,597,0.6517
s,452,295,0.6527
막사랑,216,141,0.6528
미미 (오마이걸),162,106,0.6543
끝,385,252,0.6545
친구로 지내다 보면,168,110,0.6548
love poem,177,116,0.6554
하마노 하루키,131,86,0.6565
show,370,243,0.6568
really,105,69,0.6571
위키드 ost,105,69,0.6571
falling,547,360,0.6581
미라클,202,133,0.6584
끊었어,161,106,0.6584
i like it,164,108,0.6585
오렌지,308,203,0.6591
가,223,147,0.6592
동그라미,291,192,0.6598
sing again,303,200,0.6601
d,539,356,0.6605
사랑의이름으로,109,72,0.6606
산,171,113,0.6608
go baby,174,115,0.6609
when i`m still getting over you,118,78,0.661
love maze,251,166,0.6614
?,393,260,0.6616
ai,649,430,0.6626
별이 떨어질 때,633,420,0.6635
into the sun,107,71,0.6636
반창고,107,71,0.6636
꿈꾸던,119,79,0.6639
west coast love,119,79,0.6639
천년지애,131,87,0.6641
서현진,152,101,0.6645
dilemma,152,101,0.6645
running,173,115,0.6647
장미,170,113,0.6647
square,209,139,0.6651
괜찮아,541,360,0.6654
향기,516,344,0.6667
champion,300,200,0.6667
31,126,84,0.6667
나의 마음에,220,147,0.6682
hurt,202,135,0.6683
오래오래,202,135,0.6683
비가 내리는 날에는,178,119,0.6685
함지연,151,101,0.6689
별 떨어진다,281,188,0.669
space,142,95,0.669
wow,136,91,0.6691
어른이 되어버린 소년은,254,170,0.6693
한그루,127,85,0.6693
폭죽과 풍선들,351,235,0.6695
heartbeat,200,134,0.67
시간,200,134,0.67
그랬구나,255,171,0.6706
abg,161,108,0.6708
같이,128,86,0.6719
널 잊는 연습,497,334,0.672
v,421,283,0.6722
나란한 밤,321,216,0.6729
우리가 헤어져야 했던 이유,107,72,0.6729
salty,141,95,0.6738
love hangover,135,91,0.6741
sos,304,205,0.6743
